#separator:tab
#html:true
#guid column:1
#tags column:6
uIk^cZVEq<	相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
st[e~ss]]V	駆け込む	駆[か]け 込[こ]む	to rush into		0160
xH28:i3N|O	掛け算	掛[か]け 算[ざん]	multiplication		0078
bJ&Ow$<NKE	かける	かける	to place, to impose		0062
gk8Z1$>:d~	掛ける	掛[か]ける	to multiply, to times		0078
fYGWijD+Oo	～かける	～かける	to start -ing		0160
QCxwA(1n4)	過去	過[か] 去[こ]	past		0082
f]%scSm7V?	家事	家[か] 事[じ]	housework		0018
nPT`}7iL8n	貸し出す	貸[か]し 出[だ]す	to lend		0160
Lr3*DPn[Li	果実	果[か] 実[じつ]	fruit		0034
G08u_R`bL]	かじる	かじる	to take a bite out of		0014
m7k{J2{:&:	風邪気味	風邪[かぜ] 気[ぎ] 味[み]	slight cold		0078 0079
Di}YO],T|v	稼ぐ	稼[かせ]ぐ	to earn		0042
l`fHRbAr:&	河川	河[か] 川[せん]	river		0058
yUdn/ppNn1	家族連れ	家[か] 族[ぞく] 連[づ]れ	accompanied by family		0161
ei-[L--Yis	型	型[かた]	mold, model, form		0101
AKrMTkh|5j	片～	片[かた]～	one (of two) ～		0167
"cd%O1)V%#w"	課題	課[か] 題[だい]	task, challenge		0066
lG6L$[R`e~	形	形[かたち]	shape, style		0101
k}$NEhN+xr	片ひざ	片[かた]ひざ	one knee		0167
L]-fZz8ehE	固まる	固[かた]まる	to harden, to solidify (vi.)		0178
Kf(n=gbgFj	片道	片[かた] 道[みち]	one way	反.  往[おう] 復[ふく]<br>both ways, round trip	0030
t6f6l=+CJs	傾く	傾[かたむ]く	to lean, to decline		0088
mq&h?j]F-X	固める	固[かた]める	to harden, to stiffen (vt.)		0178
nlHZ>=sA5Z	肩を落とす	肩[かた]を 落[お]とす	to be disappointed, to be let down		0149
"y#OF@vcHN("	肩を貸す	肩[かた]を 貸[か]す	to lend somebody one's shoulder (to lean on)		0149
v!(lir{:`F	～学科	～ 学[がっ] 科[か]	～ science, department of ～		0039
P1$%78E`qD	学会	学[がっ] 会[かい]	academic conference		0038
h/y(cJ)PP2	がっかり	がっかり	to be disappointed		0113
pyQ)tj|sUN	活気	活[かっ] 気[き]	lively		0030
CB);(fAi>e	担ぐ	担[かつ]ぐ	to carry on one's shoulder		0113
HX!<U/v0Wg	勝手	勝[かっ] 手[て]	do as one pleases, on one's own, without permission, selfish		0100 0107
u:jV17Z|Lu	かつて	かつて	once, before		0082 0083
CCLeNN>d=b	～活動	～ 活[かつ] 動[どう]	～ activities		0067
d+axWm[~/!	活発	活[かっ] 発[ぱつ]	lively		0107
M,n!W{uQhp	活躍	活[かつ] 躍[やく]	active part, success		0026
t0g4CO$}Bg	活用法	活[かつ] 用[よう] 法[ほう]	usage		0173
;Sj^B@$~=	悲しみ	悲[かな]しみ	sadness		0179
v<WFERVzN=	悲しむ	悲[かな]しむ	to feel sad, to feel sorry for		0178
zYD0mC?UM$	必ずしも	必[かなら]ずしも	not always [necessarily]		0043 0130
Js<dJ^%6<4	加熱	加[か] 熱[ねつ]	heating		0018
GzIC]|KV{5	金遣い	金[かね] 遣[づか]い	spending money		0003 0161
MO|_v<YH^N	かび	かび	mold		0018
"E?;6[eTL#o"	株	株[かぶ]	stock		0042
Ln5{2PfJ~X	株式	株[かぶ] 式[しき]	company stock		0062
API)Fb8eaB	花粉	花[か] 粉[ふん]	pollen		0070
G:9U_5_r=H	構う	構[かま]う	to take care of		0018
"L]+#Q@M[q;"	神	神[かみ]	god		0054
Ejk*w?ix:[	かみそり	かみそり	razor		0022
c&(7Mi=r5:	科目	科[か] 目[もく]	subject		0038
"eO#b?bRT|h"	かゆみ	かゆみ	itch		0179
DQf&G8DV@)	柄	柄[がら]	pattern		0018
gOrz(/Wxdw	体つき	体[からだ]つき	build		0161
D0$hQT0u^^	辛み	辛[から]み	hot flavour		0179
h>?hmsW+%+	刈る	刈[か]る	to cut, to harvest		0034
I!q&m8NDTE	乾かす	乾[かわ]かす	to dry		0018
i5.5Ef(|Rc	川沿い	川[かわ] 沿[ぞ]い	river side		0030 0031 0161
Bl/I3cy^|x	勘	勘[かん]	intuition		0006
AX!NE.,5cI	缶	缶[かん]	can		0070
AgI!cd{i{A	～官	～ 官[かん]	～ official		0172
H1Kw`!SMhX	～感	～ 感[かん]	feeling [sense] of ～		0173
Q1X3-bMdzS	考え直す	考[かんが]え 直[なお]す	to rethink, to reconsider		0160
d55$pRyVJ7	間隔	間[かん] 隔[かく]	space, interval		0078
Q.Ks%p]g|V	観客	観[かん] 客[きゃく]	audience, spectator		0026
u`*[$Dv:Y.	環境破壊	環[かん] 境[きょう] 破[は] 壊[かい]	environmental destruction		0071
B7GquKzGoN	環境保護	環[かん] 境[きょう] 保[ほ] 護[ご]	environmental protection		0070 0071
iYm$1TTo+Y	歓迎会	歓[かん] 迎[げい] 会[かい]	welcome party	反.  送[そう] 別[べつ] 会[かい]<br>farewell party	0014 0015
K`JxD.Ap,S	看護師	看[かん] 護[ご] 師[し]	nurse		0172
ue_<y=?pQn	患者	患[かん] 者[じゃ]	patient		0022
"bo4X$yqn/#"	勘定	勘[かん] 定[じょう]	calculation, counting		0078
Q,G|+UvV|z	感染	感[かん] 染[せん]	infection		0074
Ohqk8i1:6[	官庁街	官[かん] 庁[ちょう] 街[がい]	government office quarter		0172
J.Rt)%M+fM	監督	監[かん] 督[とく]	coach		0026
Q]rH$gh0;b	看病	看[かん] 病[びょう]	nurse		0022
ed3?0W2L6~	管理	管[かん] 理[り]	management, care		0022
L&b7=Q|*Qe	管理職	管[かん] 理[り] 職[しょく]	management		0042 0043
w^M`@{0)>$	～機	～ 機[き]	～ machine		0172
HTP&fDw1C(	～器	～ 器[き]	～ instrument		0172
n*_0O`/Q_*	気が合う	気[き]が 合[あ]う	to get along with		0154
L]IT|ALoGK	危害	危[き] 害[がい]	harm		0070
"y;m2|Y#Sy["	気が多い	気[き]が 多[おお]い	to be open to many things		0154
K0RjEy67$%	気が重い	気[き]が 重[おも]い	to feel depressed		0154
q1kPW.?S59	気が利く	気[き]が 利[き]く	smart		0154
dO`t>!@MKV	気が進まない	気[き]が 進[すす]まない	to be not in the mood for		0154
O!3fU_AX<.	気が済む	気[き]が 済[す]む	to be satisfied, to feel fine		0154
wg7OZ@hFp/	気が小さい	気[き]が 小[ちい]さい	timid		0154
K9lv@:YX&%	気が散る	気[き]が 散[ち]る	to get distracted		0154
fP}P~>fbTT	気が早い	気[き]が 早[はや]い	hasty		0154
f-BH{r_l@v	気が短い	気[き]が 短[みじか]い	short-tempered		0154
w./IUlm)5a	気が向く	気[き]が 向[む]く	to feel like		0154
M2O1GYI8%m	気軽	気[き] 軽[がる]	casual, light-hearted		0118
NrS`0=X7i(	～機関	～ 機[き] 関[かん]	～ institution		0031
Bj5xV`b4J*	期間中	期[き] 間[かん] 中[ちゅう]	during the period		0082 0083
l4ehZ]8!de	～危機	～ 危[き] 機[き]	～ crisis		0063
iC!V(4m6XG	危機感	危[き] 機[き] 感[かん]	sense of impending crisis		0173
Cb~?y:hl-<	効く	効[き]く	to be effective		0022
"nh**0#9HO^"	機嫌	機[き] 嫌[げん]	mood		0006
r*p96)WF|^	危険性	危[き] 険[けん] 性[せい]	dangerousness		0075 0173
bjN7-_;b]_	気候	気[き] 候[こう]	climate		0070
gr[PFAsVo;	気候変動	気[き] 候[こう] 変[へん] 動[どう]	climate change		0070
zy-.eSH=M8	既婚者	既[き] 婚[こん] 者[しゃ]	married person		0054 0055
bj)>E|bind	刻む	刻[きざ]む	to chop		0088
q,^h_8+7-I	岸	岸[きし]	coast	反.  沖[おき]<br>out to sea	0034
DY3)9B3H/O	記事	記[き] 事[じ]	article		0046
gf)P.*3XAZ	記者	記[き] 者[しゃ]	journalist, reporter		0046
K_%&RZ+st.	技術的	技[ぎ] 術[じゅつ] 的[てき]	technical		0075
D},3TPsJIy	築く	築[きず]く	to build		0054
g`=-AT9=?$	着せる	着[き]せる	to dress		0018
IG;r[Q^wD$	貴族	貴[き] 族[ぞく]	aristocracy		0066
deJ31}YK%W	規則正しい	規[き] 則[そく] 正[ただ]しい	regular		0007
qxYkLqr*@p	貴重	貴[き] 重[ちょう]	valuable		0014
H@jv,YHHd9	気遣い	気[き] 遣[づか]い	concern		0003
HTlPp}l}ek	きっかけ	きっかけ	opportunity		0112
cf9AWquTIn	ぎっしり	ぎっしり	tightly		0079 0142
ENuu/+24Wc	きっぱり	きっぱり	flatly, decisively		0143
A9q.-1ptI$	起動	起[き] 動[どう]	start-up, activation		0050
GlA=tC,/KE	気に入る	気[き]に 入[い]る	to like		0155
z|o*`kDyL`	気に掛かる	気[き]に 掛[か]かる	to be concerned about		0154
izV2D/1AU;	気に食わない	気[き]に 食[く]わない	to dislike		0154
B$t@|Qv0_K	気にする	気[き]にする	to be concerned about		0154
cD]F?z|}0C	～機能	～ 機[き] 能[のう]	～ function		0051
jG:?Y>yAB+	気の毒	気[き]の 毒[どく]	feeling sorry for		0010
ruYAf5`=+Y	きびきび	きびきび	briskly, energetically		0143
kWt[@yOT4{	寄付金	寄[き] 付[ふ] 金[きん]	donation		0172
M;pkF|x4&L	規模	規[き] 模[ぼ]	scale		0078
iLFUP}-BK[	希望	希[き] 望[ぼう]	hope, wish		0042
bo}C`H?fP?	気まぐれ	気[き]まぐれ	whimsy		0118
hz-I8ZxSc[	気まずい	気[き]まずい	awkward		0118
kwQMf}nOXn	期末試験	期[き] 末[まつ] 試[し] 験[けん]	end-of-term exam		0038
q=Z}(`![&Y	決まって	決[き]まって	always, without fail		0035 0137
LZrqDEp0[I	～気味	～ 気[ぎ] 味[み]	a touch of ～, a little ～		0079
nRAL>8%X5{	逆～	逆[ぎゃく]～	reverse [opposite, inverse] ～		0166
NkvITzeT+K	客席	客[きゃく] 席[せき]	audience [guest] seats		0026
Okk)BYTpzz	球	球[きゅう]	sphere		0078
GT}+6&!z%t	旧～	旧[きゅう]～	old ～		0167
uUpf^&r*7M	急～	急[きゅう]～	rapid [sudden, sharp] ～		0167
k}P/hBml~E	休暇	休[きゅう] 暇[か]	holiday		0042 0119
IiUVD:g:{,	急カーブ	急[きゅう]カーブ	sharp curve		0167
f]-+]18UkT	休業	休[きゅう] 業[ぎょう]	closure, shutdown		0119
i=uq!ZmI4!	休憩	休[きゅう] 憩[けい]	break		0119
ej-HbwHWfy	休講	休[きゅう] 講[こう]	lecture cancellation		0038
GK3v.&%,u|	救済	救[きゅう] 済[さい]	help, relief		0058
i&61r=;T[V	旧市街	旧[きゅう] 市[し] 街[がい]	old town		0167
Oe[ESisj|;	急上昇	急[きゅう] 上[じょう] 昇[しょう]	sudden rise		0167
L<[~3oQ>On	旧姓	旧[きゅう] 姓[せい]	maiden name		0167
mBHW(jpF4a	急接近	急[きゅう] 接[せっ] 近[きん]	rapid approach		0167
cC0W.HC(0L	休息	休[きゅう] 息[そく]	rest		0119
pukEbb1;<X	旧体制	旧[きゅう] 体[たい] 制[せい]	old system		0167
h$>]h]==O;	急展開	急[きゅう] 展[てん] 開[かい]	rapid development		0167
KL@1p%]EL?	急テンポ	急[きゅう]テンポ	quick tempo		0167
M{>VY6Ji:$	牛乳パック	牛[ぎゅう] 乳[にゅう]パック	milk carton		0070 0071
nOo<EknvK5	急ブレーキ	急[きゅう]ブレーキ	sudden braking		0167
:1;SNAub9	休養	休[きゅう] 養[よう]	rest, recreation		0022 0119
Q{TU%gA7Q;	給料	給[きゅう] 料[りょう]	salary		0062
mK5]JQ?Jus	器用	器[き] 用[よう]	dexterity, skilfulness	反.  不[ぶ] 器[き] 用[よう]<br>clumsy	0006
o08qa>;3+7	～業	～ 業[ぎょう]	～ industry		0172
J$n%jlXj-H	教育実習	教[きょう] 育[いく] 実[じっ] 習[しゅう]	teaching practice		0038
"i-7(j8S.#H"	教員	教[きょう] 員[いん]	teaching staff		0038
s-4.9^0ZUv	強化	強[きょう] 化[か]	strengthening		0058
E2v*iq@fIQ	教科書	教[きょう] 科[か] 書[しょ]	textbook		0038
qR*eYTI@ka	競技	競[きょう] 技[ぎ]	competition		0026
q/n!DDbv&O	競技場	競[きょう] 技[ぎ] 場[じょう]	stadium		0172
Fa-C:TcOti	供給	供[きょう] 給[きゅう]	supply		0062
qX,9Q$$p/+	教師	教[きょう] 師[し]	teacher		0038
nUyj-!;|zc	行事	行[ぎょう] 事[じ]	event		0054
"E!!*!HYH#*"	教授	教[きょう] 授[じゅ]	professor		0038
BX.m-~Frxz	業績	業[ぎょう] 績[せき]	accomplishment		0074
m!Z&Z<40eH	競争率	競[きょう] 争[そう] 率[りつ]	competition rate		0173
"cnoUc;y+#^"	興味深い	興[きょう] 味[み] 深[ぶか]い	interesting		0046 0047
nAI27]bNL*	行列	行[ぎょう] 列[れつ]	line, queue		0014
d>SdWE&rxy	許可証	許[きょ] 可[か] 証[しょう]	licence, permit		0173
P~IoE]MF&4	曲	曲[きょく]	number, piece of music		0026
Feh3@?*=Z[	距離	距[きょ] 離[り]	distance		0078
NzlIyHqCkw	嫌う	嫌[きら]う	to hate		0010
A^a9/~!>W	気楽	気[き] 楽[らく]	carefree		0006 0118
RdcEw7WJjk	霧	霧[きり]	fog		0034
"M[R$P_#jQ="	議論	議[ぎ] 論[ろん]	discussion		0066
Bj`~;MzoxQ	極めて	極[きわ]めて	extremely		0083 0124
t^0FIA4.Ag	気を落とす	気[き]を 落[お]とす	to be discouraged		0155
fG@BN,kMhv	気を遣う	気[き]を 遣[つか]う	to take care of, to be considerate		0155
qh8$M4{YwV	気を取られる	気[き]を 取[と]られる	to be distracted		0155
ew/hYlx-IW	菌	菌[きん]	fungus		0074
dF+q0&,d@Y	～金	～ 金[きん]	～ fee		0172
RiJ;,7HNWA	金額	金[きん] 額[がく]	amount of money		0078
HDD@&3WzOZ	銀行口座	銀[ぎん] 行[こう] 口[こう] 座[ざ]	bank account		0062
wCE?Dimh+~	金属製	金[きん] 属[ぞく] 製[せい]	made of metal		0173
PI79!dmOpL	緊張	緊[きん] 張[ちょう]	strain, tension		0006 0113
ts|7LYfO1I	緊張感	緊[きん] 張[ちょう] 感[かん]	tense atmosphere		0173
n`=u>,v-mv	金融界	金[きん] 融[ゆう] 界[かい]	financial world		0043
m=Bka|qNvm	金融危機	金[きん] 融[ゆう] 危[き] 機[き]	financial crisis		0062 0063
ry7tEjqQdy	～具	～ 具[ぐ]	～ gear [implement]		0172
P5,29)Fr(=	クイズ番組	クイズ 番[ばん] 組[ぐみ]	quiz show		0046 0047
"h/M??#[?HE"	食う	食[く]う	to eat		0014
iJM-pbOcgw	空間	空[くう] 間[かん]	space		0083
m>ERh,dr!k	偶然	偶[ぐう] 然[ぜん]	by accident, by chance		0010
jBo,+~Wwnr	茎	茎[くき]	stalk		0070
zERYqFA?FB	腐る	腐[くさ]る	to go bad [off], to rot		0018
"QvVFDnh##f"	くし	くし	comb		0022
NsL{En,@9F	くしゃみ	くしゃみ	sneeze		0022
g.4deF+YMy	苦情	苦[く] 情[じょう]	complaint		0112
"jEU=JU_#kz"	崩す	崩[くず]す	to break, to demolish		0022 0088
KTEP8:QlU<	～崩れ	～ 崩[くず]れ	～ slide		0059
K^/DQ/;kI(	具体性	具[ぐ] 体[たい] 性[せい]	concreteness		0173
qrh:_XxQ][	具体的	具[ぐ] 体[たい] 的[てき]	concrete		0173
"f)g0yc#MhP"	くたくた	くたくた	exhausted		0143
f-6g5I<?A%	くたびれる	くたびれる	to be exhausted		0113
hP<VtD4.[V	くだらない	くだらない	stupid, trashy		0046
m6.BD/CPgH	下り電車	下[くだ]り 電[でん] 車[しゃ]	down train		0030
r~pe=!~sBv	口がうまい	口[くち]がうまい	smooth talker		0148
L|I/_`PXv}	口が重い	口[くち]が 重[おも]い	taciturn		0148
"r#~^<Hqe,G"	口が堅い	口[くち]が 堅[かた]い	tight-lipped		0148
pqekg,RYt<	口が軽い	口[くち]が 軽[かる]い	to be a blabbermouth		0148
K`52Y@w<|/	口が滑る	口[くち]が 滑[すべ]る	to make a slip of the tongue		0148
ms[AsOxtA{	口に合う	口[くち]に 合[あ]う	to suit someone's taste		0148
B*lTxIxp36	口にする	口[くち]にする	to talk		0148
eJ_nAKXDZD	口に出す	口[くち]に 出[だ]す	to say		0148
nCe[WboyGi	ぐちゃぐちゃ	ぐちゃぐちゃ	messy		0142
L5]t[pN(i&	口を出す	口[くち]を 出[だ]す	to have one's say (in an unconnected matter), to interfere		0148
NdnpIB7MJw	苦痛	苦[く] 痛[つう]	pain		0022
f+m>licMZ$	くっきり	くっきり	clearly		0142
mG`DQM^KR~	ぐったり	ぐったり	dead-tired		0143
E2y$%zTRa	ぐっと	ぐっと	much		0019 0124
s;(W2kC~?^	くつろぐ	くつろぐ	to relax		0113
Q3;0/0isb.	くどい	くどい	long-winded, greasy, gaudy		0014 0100
MRZlM>]czs	首にする	首[くび]にする	to fire from a job		0155
gSqg1!bDl5	首になる	首[くび]になる	to be fired		0155
"C,T(#.%9&V"	クマ	クマ	bear		0070
gG*a%$fZD&	組み～	組[く]み～	combining [integrating] ～		0075 0161
x`q(h|qns:	組み合わせる	組[く]み 合[あ]わせる	to combine		0161
i?Zt~ymFm|	組み込む	組[く]み 込[こ]む	to integrate		0075
y*`z8-2q}S	組み立て式	組[く]み 立[た]て 式[しき]	ready-to assemble, collapsible		0173
B9It}plV[5	組み立てる	組[く]み 立[た]てる	to assemble, to put together		0074 0075 0161
unP;0woaF,	悔やむ	悔[く]やむ	to regret		0113 0178
j.6L$Wx:PW	くよくよ	くよくよ	brooding over		0143
KpQxt7W=_W	暮らしぶり	暮[く]らしぶり	way of life		0161
l0MGb.YPkz	グラフ	グラフ	graph		0050
IQS_S8(fY.	狂う	狂[くる]う	to go crazy [mad]		0088
n(YnyakBBq	苦しみ	苦[くる]しみ	suffering		0179
b&GtJl~@@$	苦しむ	苦[くる]しむ	to suffer		0178
Lq5&>1Aef9	くるむ	くるむ	to wrap		0113
wrKK@La!hz	クレーム	クレーム	to claim		0112
n_Q@5;!uE@	暮れる	暮[く]れる	to get dark		0034
yG^8W{czDE	黒字	黒[くろ] 字[じ]	surplus		0062
BDS&p<73!S	加える	加[くわ]える	to do (harm) to, to inflict ～ on		0070
i%z*`cA!V1	詳しい	詳[くわ]しい	detailed		0046
nac41028.3	加わる	加[くわ]わる	to join, to participate		0078
Eu<iC`GlX7	訓練	訓[くん] 練[れん]	training		0026 0112
EMjCEXw&tv	軽～	軽[けい]～	light [minor] ～		0167
I<`BF`0Hn9	～計	～ 計[けい]	～ metre [scale]		0172
BG7*!MJ(r;	敬意	敬[けい] 意[い]	respect		0010
F(YX=d:FUz	経営	経[けい] 営[えい]	management		0042
L4<q7@yT6U	経営方針	経[けい] 営[えい] 方[ほう] 針[しん]	management policy		0042 0043
mCPpHO$-jm	経過	経[けい] 過[か]	passage		0082
v]/uG&ed@J	警戒	警[けい] 戒[かい]	warning, caution		0058
dr!g}uNc%/	景気	景[けい] 気[き]	business climate [conditions]		0062
k2dyxR,gfR	契機	契[けい] 機[き]	opportunity		0112
efwk=F:H-B	軽金属	軽[けい] 金[きん] 属[ぞく]	light metal		0167
ga)3Ed.v^j	軽減	軽[けい] 減[げん]	reduction		0078
B_bW1;k7~b	敬語	敬[けい] 語[ご]	honorific expression		0010
iBv7t,>a$5	軽工業	軽[けい] 工[こう] 業[ぎょう]	light industry		0167
i=<z?2~r~0	経済危機	経[けい] 済[ざい] 危[き] 機[き]	economic crisis		0062 0063
zQ]XfQ/@@h	計算	計[けい] 算[さん]	calculation		0078
E>n@W={ZDE	計算違い	計[けい] 算[さん] 違[ちが]い	miscalculation		0161
iWu)$oM7^)	形式的	形[けい] 式[しき] 的[てき]	formal		0055
AOj(0LbgZE	携帯電話	携[けい] 帯[たい] 電[でん] 話[わ]	mobile phone [cell phone]		0074
Gv]:6m.3W(	携帯用	携[けい] 帯[たい] 用[よう]	for portable use		0173
fhM+sFzmw,	毛糸	毛[け] 糸[いと]	wool		0018
fKV&3PGD3+	芸能界	芸[げい] 能[のう] 界[かい]	show business		0042 0043
I+oTNzz]8i	軽犯罪	軽[けい] 犯[はん] 罪[ざい]	minor offence		0167
Jh{Ya]0gV?	警備員	警[けい] 備[び] 員[いん]	security guard		0172
"F1@74#A&7O"	～警報	～ 警[けい] 報[ほう]	～ warning		0059
f^Ij=3.]I|	外科	外[げ] 科[か]	surgery		0022
z4TON5?9^0	劇場	劇[げき] 場[じょう]	theatre		0026
i&u1lF|C2x	下車	下[げ] 車[しゃ]	alighting	反.  乗[じょう] 車[しゃ]<br>boarding	0030
eSJ{X$vwhL	下旬	下[げ] 旬[じゅん]	last part of the month		0082
o8..*S@M3J	下水道	下[げ] 水[すい] 道[どう]	sewer, sewerage system		0070
"K%(N1?#_@q"	削る	削[けず]る	to plane, to shave, to sharpen		0026 0088
Q^R>WyhE4P	けち	けち	stingy		0006
"vyqr#gMc.t"	血圧	血[けつ] 圧[あつ]	blood pressure		0022
f-ckROjplM	血圧計	血[けつ] 圧[あつ] 計[けい]	blood pressure gauge		0172
Dm>H|a:<Y!	月給	月[げっ] 給[きゅう]	monthly salary		0042
hQKL1?4%wl	結局	結[けっ] 局[きょく]	finally		0136
L&gx!>N.vv	結構	結[けっ] 構[こう]	quite		0136
M:SK;4N^zz	結婚相手	結[けっ] 婚[こん] 相[あい] 手[て]	marriage partner		0054 0055
D2=w@1MN;i	傑作	傑[けっ] 作[さく]	masterpiece		0026
cJ:)WLHx)u	決して	決[けっ]して	by no means, never		0063
k{:fc8RySB	月末	月[げつ] 末[まつ]	end of the month		0082
qvK->gvW3)	けなす	けなす	to belittle		0010
j4!R9KM.*R	険しい	険[けわ]しい	steep, severe		0034 0100
"g3Kg#-OY61"	～券	～ 券[けん]	～ ticket [pass]		0031
s,C3>*.>Yk	現～	現[げん]～	present ～		0166
"q|A`#4i]B@"	謙虚	謙[けん] 虚[きょ]	modest	反.  生[なま] 意[い] 気[き]<br>cheeky	0006
cANK`Qi;ND	現金	現[げん] 金[きん]	cash		0062
de}f1>G4Va	検索	検[けん] 索[さく]	search		0050
p?aD@ktH5-	原産	原[げん] 産[さん]	origin		0014
jp$K+6+mYh	現時点	現[げん] 時[じ] 点[てん]	present moment		0166
fBQS.1.(3i	研修	研[けん] 修[しゅう]	training		0042
Fj]Hm8*(Oo	減少	減[げん] 少[しょう]	decrease	反.  増[ぞう] 加[か]<br>increase	0078
wq|g,OGt=_	現状	現[げん] 状[じょう]	present state		0070
o982,TqI57	建設業	建[けん] 設[せつ] 業[ぎょう]	construction industry		0172
HjkZ;s4F*I	現代語	現[げん] 代[だい] 語[ご]	modern language		0026
oc>?[7%rRI	現代語訳	現[げん] 代[だい] 語[ご] 訳[やく]	translation into modern language		0026 0027
og=sc+!kZ}	現代風	現[げん] 代[だい] 風[ふう]	contemporary		0015 0173
NL%@G-FDzw	現段階	現[げん] 段[だん] 階[かい]	current stage		0166
Q$F)b^IYr{	建築家	建[けん] 築[ちく] 家[か]	architect		0172
j>DLt06]S{	建築士	建[けん] 築[ちく] 士[し]	architect		0172
I8V<0AJ@LF	限定版	限[げん] 定[てい] 版[ばん]	limited edition		0173
iDkYMY~sFW	現場	現[げん] 場[ば]	scene (of a crime, accident, etc.)		0058
moIpe^@Ut]	憲法	憲[けん] 法[ぽう]	constitution		0066
D_dn4}9%<o	権力	権[けん] 力[りょく]	power, authority		0066
uzy63Zutqx	小～	小[こ]～	small ～		0166
i[^_o`6*aI	高～	高[こう]～	high ～		0023 0075 0167
Hj_V9nPUUW	好～	好[こう]～	good ～		0167
G/X(rT}fzX	合意	合[ごう] 意[い]	agreement		0066
kI|waU_:4A	強引	強[ごう] 引[いん]	aggressive, forceful		0006 0107
Cza2j_a:>I	好印象	好[こう] 印[いん] 象[しょう]	good impression		0167
"dYsqQ8E#h>"	豪華	豪[ごう] 華[か]	gorgeous		0054
ebpJ*1%[`D	後悔	後[こう] 悔[かい]	regret		0113
Mezp{J!R7]	公害	公[こう] 害[がい]	pollution		0070
O&ciL(/-Ad	高学歴	高[こう] 学[がく] 歴[れき]	higher education		0167
AcW_m/!lbg	高カロリー	高[こう]カロリー	high calorie		0023 0167
IHZpTi>pA@	交換	交[こう] 換[かん]	exchange		0074
JZY%dS(7Kk	高気圧	高[こう] 気[き] 圧[あつ]	high atmospheric pressure		0034
s@>I(`f3JN	好奇心	好[こう] 奇[き] 心[しん]	curiosity		0173
A4CO{EK0c+	高機能	高[こう] 機[き] 能[のう]	high functioning		0075 0167
An{+|5r-T>	公共政策	公[こう] 共[きょう] 政[せい] 策[さく]	public policy		0066
i:<PK&,^ff	航空券	航[こう] 空[くう] 券[けん]	air ticket		0030 0031
M?!lqMH>k~	工芸	工[こう] 芸[げい]	crafts		0026
N5R76+62Jt	高血圧	高[こう] 血[けつ] 圧[あつ]	high blood pressure		0022 0023 0167
"l#C.RK<VT`"	貢献	貢[こう] 献[けん]	contribution		0113
p9{0O+)E)Y	広告費	広[こう] 告[こく] 費[ひ]	advertising cost		0046
bvx8f4EE><	交際	交[こう] 際[さい]	association		0054
KnBfTl*$,V	交際費	交[こう] 際[さい] 費[ひ]	social expenses		0172
xYESydPJ]L	子ウサギ	子[こ]ウサギ	baby rabbit		0071
eu:!CxSo.{	講師	講[こう] 師[し]	lecturer		0038
B2DrJ1R7<8	子牛	子[こ] 牛[うし]	calf		0070 0071
MWM{,XTmVp	交渉	交[こう] 渉[しょう]	negotiation		0066
"QiC|VH#.G0"	向上	向[こう] 上[じょう]	improvement		0062
l|H0nO?!}&	降水量	降[こう] 水[すい] 量[りょう]	amount of rainfall		0173
x]0J!KNe]s	高性能	高[こう] 性[せい] 能[のう]	high performance		0074 0075 0167
uj%<f8Qk)*	高速バス	高[こう] 速[そく]バス	express bus		0030
C@V}WVJL(o	好対照	好[こう] 対[たい] 照[しょう]	good contrast		0167
nN}-kJNEF1	交通機関	交[こう] 通[つう] 機[き] 関[かん]	means of transportation, transport facilities		0030 0031
sk!<(o`RkF	交通事故	交[こう] 通[つう] 事[じ] 故[こ]	traffic accident		0058 0059
tst?![B+kA	高度	高[こう] 度[ど]	advanced		0078
Gw@jIif9cx	強盗	強[ごう] 盗[とう]	robber		0058
s&Z^<Sz|_$	強盗事件	強[ごう] 盗[とう] 事[じ] 件[けん]	robbery		0059
"e#rwc=:){g"	光熱費	光[こう] 熱[ねつ] 費[ひ]	utility costs		0172
sZg)(~?VZe	後輩	後[こう] 輩[はい]	junior		0002
G@:FNS+OG8	紅葉、紅葉	紅[こう] 葉[よう]、 紅葉[もみじ]	autumn colour of leaves		0034
Ci)21`+Y:5	効率	効[こう] 率[りつ]	efficiency		0074
FievmO6Z]>	高齢化	高[こう] 齢[れい] 化[か]	ageing (of the population)		0173
M!dl%E_-q_	超える	超[こ]える	to exceed		0030
b>8IA?!D?x	コーチ	コーチ	coach		0026
Jq|ImifbnZ	誤解	誤[ご] 解[かい]	misunderstanding		0010
w)Ru|;QLH(	焦がす	焦[こ]がす	to burn		0018
yRggY-4$@.	国語	国[こく] 語[ご]	national language		0038
"H?0#r{>sM="	国際欄	国[こく] 際[さい] 欄[らん]	international column [section]		0046
g(_nBDopB@	国際連合	国[こく] 際[さい] 連[れん] 合[ごう]	United Nations	cf.  国[こく] 連[れん]<br>UN (abbr.)	0066 0067
Q|Yc75pK1%	国立大学	国[こく] 立[りつ] 大[だい] 学[がく]	national university	反.  私[し] 立[りつ] 大[だい] 学[がく]<br>private university	0038
d6:15|2]i(	焦げる	焦[こ]げる	to burn		0018
PIoA5T.dXR	凍える	凍[こご]える	to freeze		0034
g^S~D3L9/D	心が狭い	心[こころ]が 狭[せま]い	to be narrow-minded		0155
