#separator:tab
#html:true
#guid column:1
#tags column:7
N-]=^bVZrC	ぼうえき	trade	貿易		[sound:36893068_161130_2247_35.mp3]	
xkqnG>{5=8	じだい	era	時代		[sound:36928556_161212_0033_40.mp3]	
v{!a=dY6ne	しばらく	little while	暫く		[sound:36928557_161212_0034_00.mp3]	
J,t{5Zn8a2	しょうらい	future, prospects	将来		[sound:36928558_161212_0034_15.mp3]	
Qck/J-6a/r	ひるま	daytime, during the day	昼間		[sound:36928559_161212_0034_32.mp3]	
j>=QP5GN3^	ひるやすみ	noon break	昼休み		[sound:36928562_161212_0034_50.mp3]	
Jps02v9{:i	むかし	old times, old days, long ago, formerly	昔		[sound:36928563_161212_0035_07.mp3]	
"uuov_qu2#B"	いちど	once, one time	一度		[sound:36954772_161212_0035_21.mp3]	
C;Bxy}W4lw	めし	a meal (informal)	飯		[sound:37897176_161212_0035_55.mp3]	
mTRgaL@{:S	あさごはん	breakfast	朝ご飯		[sound:89357000111119220555.mp3][sound:32111215044630_220243_5fa83.mp3]	
HfFdu4z@<n	ひるごはん	lunch	昼御飯		[sound:89357000111119220642.mp3][sound:32111215044545_220784_75006.mp3]	
p=~k1@1:++	ばんごはん	dinner	晩ご飯		[sound:37897179_161212_0036_16.mp3]	
"j^:0v#qj`R"	じんこう	population	人口		[sound:36892706_161214_0339_03.mp3]	
q_!+XuibVn	しみん	citizen	市民		[sound:36892707_161214_0339_19.mp3]	
Cj5<=&-.Di	しゃかい	society, public	社会		[sound:36892708_161214_0339_36.mp3]	
l*/O7Li_iC	みな	everybody	皆		[sound:36892711_161214_0339_51.mp3]	
m~d5CgF@Y,	けいさつ	police	警察		[sound:36929378_161214_0340_11.mp3]	
fjQjg0ApR*	おかねもち	rich man	お金持ち		[sound:36892703_161214_0340_24.mp3]	
gzI_<h=_(2	おじょうさん	young lady	お嬢さん		[sound:36892704_161214_0340_38.mp3]	
dSzeC]Mi!(	きゃく	guest, customer	客		[sound:36892705_161214_0340_59.mp3]	
Njq;nedSK0	じょせい	female, woman	女性		[sound:36892709_161214_0341_43.mp3]	
Q!zB;6d^C;	だんせい	male, man	男性		[sound:36892710_161214_0341_51.mp3]	
Nlt6g|I1&	せんぱい	senior	先輩		[sound:36892712_161214_0342_11.mp3]	
N%Po)fvQ1T	ちゃん	suffix for familiar person			[sound:36892713_161214_0342_30.mp3]	
"o#xcDl,%J0"	くん	suffix for familiar young male	君		[sound:36892714_161214_0343_14.mp3]	
"E@4Y]fk43#"	きみ	(informal) You	君		[sound:36892715_161214_0342_53.mp3]	
q+(sWRh1f0	ぼく	I (used by males)	僕		[sound:36929419_161214_0343_37.mp3]	
y`L_;&3P_u	こうつう	traffic, transportation	交通		[sound:36892025_161214_0344_15.mp3]	
"i60%B~}#Wf"	きゅうこう	speedy, express	急行		[sound:36892026_161214_0345_27.mp3]	
tEcyI%>^&?	とっきゅう	limited express train (faster than an express train)	特急		[sound:36892027_161214_0345_31.mp3]	
A)Vl[R^@<w	ふつう	usually, or a train that stops at every station	普通		[sound:36892028_161214_0345_48.mp3]	
l<;oGQts-;	きしゃ	steam train	汽車		[sound:36892029_161214_0346_06.mp3]	
MEW/WQlEq`	のりもの	vehicle	乗り物;乗物		[sound:36892030_161214_0346_30.mp3]	
zN]s/XKD>(	ふね	ship	船		[sound:36892031_161214_0346_45.mp3]	
H$=kT=U2oo	オートバイ	motorcycle			[sound:36932567_161214_0347_08.mp3]	
KYdRf+Li;E	やっと	at last			[sound:36954831_161214_0347_29.mp3]	
G3;ts~[nms	とちゅう	on the way	途中		[sound:36954838_161214_0347_47.mp3]	
j(:l}S<KtL	うで	arm	腕		[sound:36892147_161214_0348_11.mp3]	
"x%>]{|U##@"	かみ	hair	髪		[sound:36892148_161214_0348_28.mp3]	
r_mvOB+B[^	かお	face	顔		[sound:37897246_161214_0348_45.mp3]	
"m4;#oY)=.M"	くび	neck	首		[sound:36892149_161214_0349_02.mp3]	
DN}I1vf!xf	け	hair or fur	毛		[sound:36892150_161214_0349_32.mp3]	
P*I).lC}9!	せなか	back of the body	背中		[sound:36892151_161214_0349_57.mp3]	
=K6Aw4o4e	ち	blood	血		[sound:36892152_161214_0350_17.mp3]	
j]fN5Cys_9	ひげ	beard	鬚		[sound:36892153_161214_0350_36.mp3]	
E:T>3xdPnf	ゆび	finger	指		[sound:36892154_161214_0350_52.mp3]	
EaSf(&7oK_	こころ	heart, mind, core	心		[sound:36892155_161214_0352_32.mp3]	
vb^K3D=U,/	チェックする	to check			[sound:36932353_161215_0045_42.mp3]	
K*{_P{Q9-&	こしょうする	to break-down	故障する		[sound:36932354_161215_0045_57.mp3]	
E`0l^ErSc)	そつぎょうする	to graduate, graduation	卒業する		[sound:36932355_161215_0046_12.mp3]	
OPSd+=NT:C	ねぼうする	to oversleep, sleeping in late	寝坊する		[sound:36932356_161215_0046_26.mp3]	
Q4{nH@/g-X	りようする	to use, utilization	利用する		[sound:36932357_161215_0046_41.mp3]	
z&$wb%(:~Y	へんじする	to reply, a reply	返事する		[sound:36932358_161215_0046_58.mp3]	
w}Tj{r<_S-	けんかする	to quarrel	喧嘩する		[sound:36932360_161215_0047_59.mp3]	
AJ8obCVJ0+	せいかつする	to live (a daily life) (suru verb)	生活する		[sound:36932361_161215_0048_13.mp3]	
xR/5C=,DgJ	せいさんする	to produce	生産する		[sound:36932362_161215_0048_32.mp3]	
xG[r`?S`-L	にゅういんする	to hospitalise, hospitalisation	入院する		[sound:36932363_161215_0048_50.mp3]	
RfDRmu%Iy>	にゅうがくする	to enter school or university	入学する		[sound:36932364_161215_0049_06.mp3]	
"AtAN/>pv_#"	たいいんする	to leave hospital	退院する		[sound:36932365_161215_0049_34.mp3]	
G6O7k{rSQ0	れんらくする	to contact	連絡する		[sound:36932366_161215_0051_17.mp3]	
D9OILEOPcL	やくそくする	to promise	約束する		[sound:36932367_161215_0052_11.mp3]	
C6d^-B@(Bn	よやくする	to reserve, reservation	予約する		[sound:36932368_161215_0052_31.mp3]	
k-1J{d>=}!	えんりょする	to restrain, hold back	遠慮する		[sound:37897235_161215_0052_54.mp3]	
DG?SvAeCP4	つまらない	uninteresting	詰らない		[sound:36927572_161217_0602_40.mp3]	
etWFdldT@2	つめたい	cold (to the touch) (not さむい)	冷たい		[sound:36927573_161217_0603_02.mp3]	
mrOh^iM1-b	つよい	strong	強い		[sound:32111215045948_220643_71f22.mp3]	
hYl~)k(BWl	とおい	far	遠い		[sound:32111215044632_220671_27859.mp3]	
o4e|3;Imx9	ながい	long	長い		[sound:36927576_161217_0603_17.mp3]	
rbMmEEtFF1	にがい	bitter	苦い		[sound:36926851_161217_0603_34.mp3]	
yMw)%}TNDa	ねむい	sleepy	眠い		[sound:36927577_161217_0603_52.mp3]	
"F#%i(QXegr"	はやい	early	早い		[sound:36927578_161217_0604_05.mp3]	
rQgpjcL:[{	はやい	fast, quick	速い		[sound:36927579_161217_0604_19.mp3]	
"sYI$[~9+#O"	ひくい	low	低い		[sound:36927581_161217_0604_35.mp3]	
Nk,;T;9i+q	ひろい	wide, spacious	広い		[sound:36927582_161217_0604_50.mp3]	
qc+?;BeSdr	ひどい	awful	酷い		[sound:36926854_161217_0605_34.mp3]	
"lDwtmI%#+H"	ひこうじょう	airport	飛行場		[sound:36929346_161218_1954_37.mp3]	
"z@%(j,C##8"	びじゅつかん	art gallery	美術館		[sound:36929347_161218_1954_50.mp3]	
u`.votn+P7	まわり	surroundings	周り		[sound:89357000111125041938.mp3]	
c4PSB>xTwC	みずうみ	lake	湖		[sound:36929349_161218_1955_04.mp3]	
M0cMrgy=@L	みなと	harbour	港		[sound:36929350_161218_1955_21.mp3]	
iWtFy3/riF	もり	forest	森		[sound:36929351_161218_1955_36.mp3]	
C<TJ|9gi+h	りょかん	Japanese hotel	旅館		[sound:330522000120320151024.mp3]	
BIwdm)>nc/	けんきゅうしつ	study room, laboratory	研究室		[sound:36929354_161218_1955_54.mp3]	
"DE<#{loK+("	こうじょう/こうば	factory, plant	工場		[sound:36929355_161218_1956_08.mp3]	
v{v?:f&U*Y	てんらんかい	exhibition	展覧会		[sound:36929356_161218_1956_21.mp3]	
KEi~]H)N.S	しょうがっこう	elementary school	小学校		[sound:36929358_161218_1956_34.mp3]	
rW(Z!PjTT^	こうこう	high school (こうとうがっこう)	高校		[sound:36929359_161218_1956_47.mp3]	
f-_|dW|^5u	こうとうがっこう	high school (こうこう)	高等学校		[sound:36929360_161218_1957_02.mp3]	
N>N3JRS?{_	スーツ	suit			[sound:36932813_161218_1957_43.mp3]	
f3n+;8OJo9	スーツケース	suitcase			[sound:36932814_161218_1957_57.mp3]	
e9VPEMnzYl	スクリーン	screen			[sound:36932815_161218_1958_11.mp3]	
Cx9]Bc2Nqr	ステーキ	steak			[sound:36932816_161218_1958_26.mp3]	
es31wRI{Or	ステレオ	stereo			[sound:36932817_161218_1958_42.mp3]	
H!|b<X=[/[	ソフト	soft			[sound:36932818_161218_1958_57.mp3]	
e?n!+HV:b8	タイプ	type, style			[sound:36932819_161218_1959_12.mp3]	
M@p~j1)2Zy	チェック・する	to check			[sound:36932820_161218_1959_45.mp3]	
r&|iPCqL1,	テキスト	text, text book			[sound:36932821_161218_2000_03.mp3]	
H[;8I1kNTC	テニス	tennis			[sound:36932822_161218_2000_17.mp3]	
c}5i6b*.H<	パート	part time			[sound:36932823_161218_2000_39.mp3]	
Hu)4J7u{eO	パソコン	personal computer			[sound:36932824_161218_2001_03.mp3]	
mf^=6FYwT)	ハンドバッグ	handbag			[sound:36932825_161218_2001_19.mp3]	
s7D4O.2gm$	ピアノ	piano			[sound:36932826_161218_2001_36.mp3]	
oI(NGm)~CN	ビル	building or bill			[sound:36932827_161218_2001_50.mp3]	
vpzJ|CIJ^?	ファックス	fax			[sound:99697000110912203314.mp3]	
j}&!h}wB}p	プレゼント	present			[sound:36932829_161218_2002_08.mp3]	
poiz6jH6^J	ベル	bell			[sound:36932830_161218_2002_25.mp3]	
Pc%&MvQ}TP	レジ	register			[sound:36932831_161218_2002_42.mp3]	
zL*z_Aqur>	レポート/リポート	report			[sound:36932832_161218_2003_01.mp3]	
Cz3lSe$z&V	ワープロ	word processor			[sound:36932833_161218_2003_16.mp3]	
Q%FnCOfEtI	つづく	to be continued	続く		[sound:36953125_161220_1133_57.mp3]	
hiZ5oA=(7k	つづける	to continue	続ける		[sound:36953126_161220_1134_17.mp3]	
bm*P24OyGr	にげる	to escape	逃げる		[sound:36953127_161220_1134_31.mp3]	
Ca)a|U6EjK	ひかる	to shine, to glitter	光る		[sound:36953128_161220_1134_50.mp3]	
mI.Pw*H{`|	みえる	to be in sight	見える		[sound:36953129_161220_1135_06.mp3]	
F?fwOU,R,}	わかれる	to separate	別れる		[sound:36953130_161220_1135_21.mp3]	
uZhuS<x^;P	まける	to lose (a game, match)	負ける		[sound:36953131_161220_1135_55.mp3]	
E.s!3+yT%s	かつ	to win (a game, match)	勝つ		[sound:36953132_161220_1136_14.mp3]	
BQN!!N]v[g	ふむ	to step on	踏む		[sound:36953133_161220_1136_29.mp3]	
zKlyPy&x5	ふりだす	to start to rain	降り出す		[sound:36953134_161220_1136_44.mp3]	
M{xSHBb*ii	とおる	to go through	通る		[sound:36953135_161220_1137_03.mp3]	
q&^(&DnD$3	つかまえる	to seize	捕まえる		[sound:36953136_161220_1137_18.mp3]	
n(q4f}uT3<	たりる	to be enough	足りる		[sound:36953137_161220_1137_34.mp3]	
"du|WK#T.<D"	さげる	to hang, to lower, to move back	下げる		[sound:36953138_161220_1137_50.mp3]	
e-`3hh1B/L	てんきよほう	weather forecast	天気予報		[sound:89357000111122015408.mp3]	
"H7[D>tEV#U"	きせつ	season	季節		[sound:330522000120311211447.mp3]	
pDK.*GFSl9	くうき	air, atmosphere	空気		[sound:36893171_161220_1138_45.mp3]	
z~BGTydHsn	すいどう	water supply	水道		[sound:36893172_161220_1139_03.mp3]	
ISYHY3_KOj	じしん	earthquake	地震		[sound:154948000120823153809.mp3]	
=>UfcIf=_	たいふう	typhoon	台風		[sound:36893174_161220_1140_01.mp3]	
bN}AAhctZ9	かじ	fire	火事		[sound:36893175_161220_1140_22.mp3]	
N>JF9mS]q`	じこ	accident	事故		[sound:330522000120320144021.mp3]	
bp+EQM_>eR	じょうず	good, skilled	上手		[sound:36927235_161220_1141_04.mp3]	
b^TZ?D1?Ln	へた	bad at, unskilled	下手		[sound:36927236_161220_1141_17.mp3]	
Ly/*n3a;@2	いっしょうけんめい	to one’s fullest possibility	一生懸命		[sound:36927237_161220_1141_30.mp3]	
N|!UP?IEw}	きけん	dangerous (na-adj)	危険		[sound:36927238_161220_1141_44.mp3]	
oU!(BhH8(L	ざんねん	regrettable, dissapointing	残念		[sound:36927239_161220_1141_58.mp3]	
s|m-$~o}}7	しんぱい	care, worry	心配		[sound:36927240_161220_1142_14.mp3]	
GbL`(8UJVp	じゆう	free, unrestrained	自由		[sound:36927241_161220_1142_28.mp3]	
b]4==Pv~v6	じゅうぶん	sufficient	十分		[sound:36927242_161220_1142_42.mp3]	
iA}=gH7suV	だいすき	passionate, love	大好き		[sound:36927243_161220_1142_56.mp3]	
vt:NVOsVL]	てきとう	proper, suitable	適当		[sound:36927244_161220_1143_09.mp3]	
gfy=/Q8@zg	とくべつ	special	特別		[sound:36926876_161220_1143_22.mp3]	
EPM%@jEvDz	ねっしん	eager, enthusiastic	熱心		[sound:36927245_161220_1143_38.mp3]	
K%*H}>_BFY	ひつよう	necessary	必要		[sound:36926877_161220_1143_51.mp3]	
uZ`>;S&*Nx	まじめ	serious, earnest	真面目		[sound:36927247_161220_1144_05.mp3]	
zA@s~%nPif	まっすぐ	straight	真直ぐ		[sound:36927248_161220_1144_18.mp3]	
BV5WD(|~kT	むり	unreasonnable	無理		[sound:36927249_161220_1144_32.mp3]	
LlNaCOPnw-	りっぱ	excellent, splendid, fine	立派		[sound:36927250_161220_1144_47.mp3]	
dYW06{9[?F	ふべん	Inconvenient	不便		[sound:36927251_161220_1145_02.mp3]	
yk/{ek!zT?	おちる	to fall or drop (on its own)	落る		[sound:36953148_161220_1145_41.mp3]	
bTAj/vUEA9	おとす	to drop	落す		[sound:36953149_161220_1145_53.mp3]	
N>G@Yb&]4n	まちがえる	to make a mistake	間違える		[sound:36953150_161220_1146_06.mp3]	
LPGn>2Q:w3	はこぶ	to transport	運ぶ		[sound:36953151_161220_1146_20.mp3]	
soryu?o:+}	ひろう	to pick up	拾う		[sound:36953152_161220_1146_35.mp3]	
xd8F5STpV5	まにあう	to be in time for	間に合う		[sound:36953153_161220_1146_49.mp3]	
"H%#L:cZSu}"	ゆれる	to shake, to sway	揺れる		[sound:36953154_161220_1147_02.mp3]	
s^m<e`H[=G	よる	to visit (not たずねる)	寄る		[sound:36953155_161220_1147_16.mp3]	
F66VJq*R0J	なげる	to throw or cast away	投げる		[sound:36953156_161220_1147_30.mp3]	
EA=d,SX<:R	おりる	to get off, to descend	下りる		[sound:36953157_161220_1147_49.mp3]	
I+eal<](36	やくにたつ	to be helpful	役に立つ		[sound:36953158_161220_1148_06.mp3]	
gQpAof04[c	むかえる	to go out to meet	迎える		[sound:36953159_161220_1148_21.mp3]	
mQOTCHmG]l	にる	to be similar	似る		[sound:36953160_161220_1148_34.mp3]	
OvuQNrA;nQ	のりかえる	to change between buses or trains	乗り換える		[sound:36953161_161220_1148_47.mp3]	
OnDmo;;*O}	ひえる	to grow cold	冷える		[sound:36953162_161220_1149_01.mp3]	
C17K</PG}m	アクセサリー	accessory			[sound:36932945_161222_0056_57.mp3]	
t6<u,$c~wT	アフリカ	Africa			[sound:36932946_161222_0057_13.mp3]	
NDx)CbwLnN	アメリカ	America			[sound:36932947_161222_0057_28.mp3]	
QJARlPHQsm	アジア	Asia			[sound:36932948_161222_0057_44.mp3]	
"u(z7#Z-3,<"	アナウンサー	announcer			[sound:36932949_161222_0058_00.mp3]	
o|z}6ne{,6	アルコール	alcohol			[sound:36932950_161222_0058_15.mp3]	
mI2Z~KVUOw	アルバイト	part-time job			[sound:36932951_161222_0058_29.mp3]	
uUy3d2q!E&	エスカレーター	escalator			[sound:36932952_161222_0058_43.mp3]	
iLi8Flzh<8	カーテン	curtain			[sound:36932953_161222_0059_04.mp3]	
kE`.On%Fs7	ガソリン	petrol			[sound:36932954_161222_0059_22.mp3]	
p$YkG_hm{?	ガソリンスタンド	petrol station			[sound:36932955_161222_0059_38.mp3]	
r4f)%IfB5M	ガラス	a glass pane			[sound:36932956_161222_0100_03.mp3]	
neDegYzF!>	ケーキ	cake			[sound:36932957_161222_0100_22.mp3]	
_uOgSXWWR	コンサート	concert			[sound:36932958_161222_0100_42.mp3]	
u<p05EY%r=	コンピューター	computer			[sound:36932959_161222_0100_58.mp3]	
A-2{{Biu*l	サラダ	salad			[sound:36932960_161222_0101_13.mp3]	
bo,ptFFz+t	サンダル	sandal			[sound:36932961_161222_0101_43.mp3]	
I@E]vq|ZDv	サンドイッチ	sandwich			[sound:36932962_161222_0101_58.mp3]	
oHEHLz-*SG	ジャム	jam			[sound:36932963_161222_0102_15.mp3]	
"s9hS=JQ#1t"	いらっしゃいます	to be (respectful)			[sound:37349791_161222_0102_51.mp3]	
QC,F~z1rnW	いらっしゃいます	to go, to come (respectful) (おいでになります)			[sound:37349792_161222_0102_54.mp3]	
yK9_]!x.-v	おいでになります	to go, to come (respectful) (いらっしゃいます)			[sound:37349793_161222_0103_11.mp3]	
nC@r-A`wY]	おみえになります	to come (respectful)	お見えになります		[sound:37349794_161223_0056_47.mp3]	
PoU59R^b4B	めしあがります	to eat, to drink (respectful)	召し上がります		[sound:37349795_161222_0104_51.mp3]	
L&<*1i*0dr	ごらんになります	to look (respectful)	ご覧になります		[sound:37349796_161222_0105_08.mp3]	
iC9uJbhGNZ	おっしゃいます	to say (respectful)	仰います		[sound:37349797_161222_0105_29.mp3]	
dXDEk|&8`4	なさいます	to do (respectful)	為さいます		[sound:37349798_161222_0105_45.mp3]	
"c(B}OI}<#z"	くださいます	to receive (respectful)	下さいます		[sound:37349799_161222_0106_07.mp3]	
DS1XSV[D%@	ごぞんじです	to know (respectful)	ご存知です		[sound:37349800_161222_0106_33.mp3]	
yXFi[^eTsI	でいらっしゃいます	desu (respectful)			[sound:37349801_171207_2039_14.mp3]	
g@QGvVIKXR	おききになります	to hear (respectful)	お聞きになります		[sound:37349802_161222_0107_50.mp3]	
hBGetow?(z	おかきになります	to write (respectful)	お書きになります		[sound:37349803_171207_2039_33.mp3]	
o.47<}[!cD	おおよぎになります	to swim (respectful)	お泳ぎになります		[sound:37349804_161223_0057_28.mp3]	
Pi^b`)O(sp	おとりになります	to take (respectful)	お取りになります		[sound:37349805_161223_0058_00.mp3]	
s{zo)OndTo	おすわりになります	to sit (respectful)	お座りになります		[sound:37349806_161223_0058_20.mp3]	
C>Gw4AuSQY	おあいになります	to meet (respectful)	お会いになります		[sound:37349807_161223_0058_35.mp3]	
Q`UZN%.}O:	おやすみになります	to rest (respectful)	お休みになります		[sound:37349808_161222_0128_58.mp3]	
yM|8z$btH	おあげになります	to give (respectful)	お上げになります		[sound:37349809_161223_0059_17.mp3]	
M0LB+xBQKR	おもらいになります	to receive (respectful) (morau)			[sound:37349810_161223_0059_33.mp3]	
tKr88gud:]	しゃちょう	company president	社長		[sound:36892578_161223_0342_48.mp3]	
bzP2v)+-g^	かちょう	section manager (ぶちょう)	課長		[sound:36892574_161223_0343_01.mp3]	
LedSc$aw_w	ぶちょう	head of a section (boss of かちょう)	部長		[sound:36892581_161223_0343_13.mp3]	
r(9`8)[3Lv	こうちょう	headmaster	校長		[sound:36892576_161223_0343_25.mp3]	
xDc5$W-tqw	こうこうせい	high school student	高校生		[sound:36892584_161223_0343_38.mp3]	
"x)~$Wuw+l#"	だいがくせい	university student	大学生		[sound:36922106_161223_0343_52.mp3]	
xV1HK3(4hq	こうむいん	civil servant, government worker	公務員		[sound:36892577_161223_0344_05.mp3]	
m>==5&,A1g	てんいん	shop assistant	店員		[sound:36892579_161223_0344_18.mp3]	
boy-OOMEtv	うんてんしゅ	driver	運転手		[sound:36892573_161223_0344_32.mp3]	
badSn^3Jm1	かんごし	nurse	看護師		[sound:36892575_161223_0344_45.mp3]	
O36}5Hx.10	はいしゃ	dentist	歯医者		[sound:330522000120310225440.mp3]	
L>s.syk-8a	すり	pickpocket	掏り		[sound:36892582_161223_0345_06.mp3]	
k)I{fnpZ7I	どろぼう	thief	泥棒		[sound:330522000120310204809.mp3]	
c2J[,F$098	あかちゃん	baby (あかんぼう)			[sound:36892226_161225_1938_38.mp3]	
z$bt//2P&A	あかんぼう	baby (あかちゃん)	赤ん坊		[sound:36892227_161225_1938_54.mp3]	
yL]G`|gd~Y	おっと	husband	夫		[sound:36892228_161226_0618_42.mp3]	
kG|`]ATz8$	ごしゅじん	(honorable) your husband	御主人		[sound:36892382_161226_0618_24.mp3]	
m)(yt~{R*g	つま	my wife	妻		[sound:36892236_161225_1939_24.mp3]	
p;{q2K?kP<	かない	housewife	家内		[sound:36892230_161225_1939_40.mp3]	
u64%M_[aF;	おや	parents	親		[sound:154948000120824185223.mp3]	
ekVn;4@2V8	かのじょ	she, girlfriend	彼女		[sound:36892231_161225_1939_57.mp3]	
sqjT.*;JA@	かれ	he, boyfriend	彼		[sound:36892232_161225_1940_11.mp3]	
AZn2574<I9	こ	child	子;児		[sound:330522000120320123318.mp3]	
fH-JkyYa0G	そふ	grandfather	祖父		[sound:36892234_161225_1940_32.mp3]	
ihtvA-}pMG	そぼ	grandmother	祖母		[sound:36892235_161225_1940_48.mp3]	
nzD3RZf&+6	むすこ	(humble) son	息子		[sound:36892237_161225_1941_03.mp3]	
"BHI9%^#V5U"	むすめ	(humble) daughter	娘		[sound:36892238_161225_1941_19.mp3]	
LL>iCXge:|	ふとい	fat	太い		[sound:36927583_161225_1942_53.mp3]	
"Id>,FZde)#"	ふるい	old	古い		[sound:36927584_161225_1943_15.mp3]	
g6=wHS0{r;	ふかい	deep	深い		[sound:36926855_161225_1943_29.mp3]	
yIY=~H~ikx	ほしい	to want something	欲しい		[sound:36927585_161225_1943_45.mp3]	
`W.f.wI.h	ほそい	thin, fine	細い		[sound:36927586_161225_1944_01.mp3]	
JffEIS!S]K	まずい	bad tasting	不味い		[sound:36927587_161225_1944_15.mp3]	
Q[sS?M$wsP	まるい	round	丸い		[sound:36927588_161225_1944_30.mp3]	
HZVct@9@Kf	みじかい	short	短い		[sound:32111215044724_220846_af15b.mp3]	
iG<VM@l9*Z	むずかしい	difficult	難しい		[sound:32111215044544_220860_00a9d.mp3]	
v,-E5c+~/X	めずらしい	rare	珍しい		[sound:36926856_161225_1944_44.mp3]	
w~%;;_]P~b	やさしい	gentle	優しい		[sound:36927688_161225_1944_59.mp3]	
wx!p$e!B)J	やすい	cheap	安い		[sound:32111215043349_220880_bb438.mp3]	
fA`GX^}lj{	やわらかい	tender, soft	柔らかい		[sound:36927690_161225_1945_17.mp3]	
NZepq*&-a+	よろしい	ok, all right (respectful)	宜しい		[sound:36927691_161225_1945_31.mp3]	
cA$=~BVaud	わかい	young	若い		[sound:32111215045411_220921_b7f58.mp3]	
iL$X*g]3y]	うつる	to move house or transfer	移る		[sound:36926558_161226_2202_32.mp3]	
i8EQsyfppD	かよう	to commute	通う		[sound:36926559_161226_2202_45.mp3]	
QiDQKbYc3k	いそぐ	to hurry	急ぐ		[sound:36926560_161226_2203_03.mp3]	
pQyiwbNNT!	おくれる	to be late	遅れる		[sound:36926768_161226_2203_27.mp3]	
"mEi}N#?<g%"	うつす	to copy or photograph	写す		[sound:36926561_161226_2203_44.mp3]	
F:I?F`{@Fx	すすむ	to make progress	進む		[sound:36926562_161226_2204_06.mp3]	
iJWJAD(_h/	すてる	to throw away	捨てる		[sound:36926563_161226_2204_20.mp3]	
oe*Thjs(Tl	すむ	to finish (おわる)	済む		[sound:36926564_161226_2204_35.mp3]	
de5ZIMH{vk	しらせる	to notify	知らせる		[sound:36926565_161226_2204_51.mp3]	
gC8wYh.G,@	たす	to add a number	足す		[sound:36926566_161226_2205_13.mp3]	
PwKF8[_qip	たずねる	to ask	尋ねる		[sound:36926567_161226_2205_28.mp3]	
BKTQpvN)G/	つたえる	to report	伝える		[sound:36926568_161226_2205_45.mp3]	
F9|@^3*!:K	てつだう	to assist	手伝う		[sound:36926569_161226_2205_58.mp3]	
GUrX+,Pe4s	とどける	to send, to deliver	届ける		[sound:36926570_161226_2206_13.mp3]	
zycv(Fu&jp	ひらく	to open an event	開く		[sound:36926571_161226_2206_29.mp3]	
GP4Dm{Kx[u	ほめる	to praise	褒める		[sound:36926573_161226_2206_43.mp3]	
dU9Szs330d	さがす	to look for	探す		[sound:36926574_161226_2206_59.mp3]	
LsCz@k8DHz	きこえる	to be heard	聞こえる		[sound:36926576_161226_2207_13.mp3]	
s;25+QL5/*	きまる	to be decided (by s/o else for you)	決る		[sound:36926577_161226_2207_27.mp3]	
HYV*[4v{g,	きめる	to decide (I decide to me)	決める		[sound:36926578_161226_2207_42.mp3]	
CbYU3WL/?k	くらべる	to compare	比べる		[sound:36926579_161226_2207_57.mp3]	
"E/#@V(Py[x"	あんしん	relief	安心		[sound:89357000111123024005.mp3]	
LxW4x}wjm>	あんぜん	safety	安全		[sound:36900027_161226_2211_10.mp3]	
k7G3L&33G9	いけん	opinion	意見		[sound:36900028_161226_2211_32.mp3]	
o[QZcw}Sf[	きもち	feeling, mood (not きぶん)	気持ち		[sound:37897191_161226_2211_47.mp3]	
MJagOFf5X[	きぶん	mood (not きもち)			[sound:36900029_161226_2212_01.mp3]	
zi82;NJtQ)	ざんねん	disappointment	残念		[sound:36900031_161226_2212_18.mp3]	
j5ru=?gl-$	しんせつ	kindness	親切		[sound:330522000120311211729.mp3]	
H<KJ./zUNn	たのしみ	joy	楽しみ		[sound:36900033_161226_2212_35.mp3]	
dIjumuqB^m	ちゅうい	caution	注意		[sound:36900034_161226_2212_56.mp3]	
C%>*IToSRy	てきとう	suitability	適当		[sound:36900035_161226_2213_10.mp3]	
qJoO9YYyac	ふくざつ	complexity, complication	複雑		[sound:36900036_161226_2213_25.mp3]	
uf{oK+uGjH	あじ	flavour	味		[sound:36900037_161226_2213_39.mp3]	
"JHa#Y<c>gM"	おれい	expression of gratitude	お礼		[sound:36900039_161226_2213_54.mp3]	
q[s6CT04m&	おいわい	congratulation	お祝い		[sound:36929394_161226_2214_11.mp3]	
iMR-e-~eH2	おかげ	owing to, thanks to			[sound:36929395_161226_2214_24.mp3]	
Gl%eJH2DVb	せいしゅん	youth	青春		[sound:37897192_161226_2214_40.mp3]	
I}2wa)4`yB	あう	to match	合う		[sound:36953212_170101_1816_00.mp3]	
LtJgWCErxP	いきる	to live (ru verb)	生きる		[sound:36953213_170101_1816_14.mp3]	
Nko5-z~m*=	うごく	to move	動く		[sound:36953214_170101_1816_32.mp3]	
k(k}%FmbnG	ひきだす	to withdraw (i.e money)	引き出す		[sound:36953215_170101_1817_06.mp3]	
A>[4Hb/u!r	ふえる	to increase	増える		[sound:330522000120310202959.mp3]	
hYN_PSd@94	やむ	to stop (on its own)	止む		[sound:36953217_170101_1817_20.mp3]	
"gPnAD9#X(t"	やめる	to stop	止める		[sound:36953218_170101_1817_33.mp3]	
r&s2tMdpMg	むかう	to face	向かう		[sound:36953219_170101_1817_47.mp3]	
FK-PQtXLb-	まわる	to go around	回る		[sound:36953220_170101_1818_00.mp3]	
zD+2Xw=*~S	もどる	to turn back			[sound:36953221_170101_1818_14.mp3]	
QvT|E@^vSm	はじめる	to begin	始める		[sound:36953222_170101_1818_28.mp3]	
L($sXw*J1)	のこる	to remain	残る		[sound:89357000111122233224.mp3]	
s6p3zzs0Jw	つく	to be attached	付く		[sound:36953224_170101_1818_41.mp3]	
