#separator:tab
#html:true
#guid column:1
#tags column:8
kcxnJQ`uQu	kanji	ja_on	ja_kun	meaning	examples		
J<~e*,B9L$	議	ギ		consideration; debate; deliberation	不思議 (ふしぎ) wonder; miracle; strange<br>議会 (ぎかい) congress; legislative assembly<br>議員 (ぎいん) member of the Diet<br>議論 (ぎろん) argument; discussion<br>会議室 (かいぎしつ) conference room		
QQS&P,~>&*	負	フ	お・う、ま・かす、ま・ける	minus; negative; bear; defeat	負け (まけ) defeat; loss<br>負ける (まける) to lose; to be defeated		
"ny0G4#T7M"	費	ヒ	つい・える、つい・やす	spend; waste; expense; cost	学費 (がくひ) tuition; school expenses<br>消費 (しょうひ) consumption; expenditure<br>費用 (ひよう) cost; expense		
Pe{bl}W)d4	路	ロ		road; path	道路 (どうろ) road; highway		
cbeA|{u.YZ	辞	ジ	や・める	resign; word; phrase; blame	辞める (やめる) to resign; to leave (one's job, etc.)<br>辞典 (じてん) dictionary<br>辞書 (じしょ) dictionary		
EK(UxymIG8	返	ヘン	かえ・す、かえ・る	return; answer	繰り返す (くりかえす) to repeat<br>返却 (へんきゃく) return; repayment<br>返事 (へんじ) reply; response<br>返す (かえす) to return (something)		
s+jt=fd8o;	速	ソク	すみ・やか、はや・い、はや・める	fast; quick	急速 (きゅうそく) rapid (e.g. progress)<br>速度 (そくど) speed; velocity<br>高速 (こうそく) high speed<br>速い (はやい) fast; quick		
Fn)KsmY$d|	連	レン	つら・なる、つら・ねる、つ・れる	connect; join; continue	連想 (れんそう) association (of ideas)<br>連続 (れんぞく) occurring in succession; continuing<br>関連 (かんれん) relation; connection<br>連れる (つれる) to bring along; to go with; to accompany<br>連絡 (れんらく) to contact; to get in touch		
h&5zXqg.2%	遊	ユ、ユウ	あそ・ぶ	play	遊び (あそび) playing<br>遊ぶ (あそぶ) to play; to have a good time		
r9k5^XYIjs	選	セン	えら・ぶ	choose; select	スポーツ選手 (スポーツせんしゅ) athlete<br>選手 (せんしゅ) player; team member<br>選択 (せんたく) selection; choice<br>選ぶ (えらぶ) to choose		
shhtdnf>A_	部	ブ		bureau; department; group; government office; bring together; govern	営業部 (えいぎょうぶ) sales department<br>大部分 (だいぶぶん) greater part; majority<br>部分 (ぶぶん) portion; section<br>部長 (ぶちょう) head of a department, team, or section<br>全部 (ぜんぶ) all; entire; whole<br>部屋 (へや) room		
j{wU&`Kj^2	配	ハイ	くば・る	distribute	支配 (しはい) domination; control; direction; management<br>配送 (はいそう) delivery<br>配達 (はいたつ) delivery; distribution<br>心配 (しんぱい) worry; concern		
nTevOh268Z	酒	シュ	さけ	alcohol; sake	酒 (さけ) alcohol; sake		
JfOSsW$)ku	関	カン	かか・わる、せき	connection; gateway	人間関係 (にんげんかんけい) human relations<br>関心 (かんしん) interest; concern<br>関連 (かんれん) relation; connection<br>関係 (かんけい) relationship; connection<br>玄関 (げんかん) entranceway; front door		
wIR;FPs_xt	雪	セツ	ゆき	snow	雪 (ゆき) snow		
Rd->v)MUZ$	面	メン	おも、おもて、つら	face; mask; surface	場面 (ばめん) scene; setting (e.g. of novel)<br>画面 (がめん) screen; picture<br>表面 (ひょうめん) surface; exterior<br>面倒 (めんどう) trouble; bother<br>面（おもて） (おもて) face; front side<br>面（めん） (めん) face; mask<br>真面目 (まじめ) diligent; serious; honest<br>面白い (おもしろい) interesting; fascinating		
j=`2x=:_-9	願	ガン	ねが・う	hope; pray; wish	願い (ねがい) request; desire<br>願う (ねがう) to desire; to request		
}*9m+t&0a	類	ルイ	たぐ・い	variety; class; kind	人類 (じんるい) mankind; humanity<br>書類 (しょるい) documents; official papers<br>種類 (しゅるい) type; kind; category		
H{fxFM<3&S	飛	ヒ	と・ばす、と・ぶ	fly; skip (pages)	飛び出す (とびだす) to jump out; to rush out<br>飛行 (ひこう) aviation; flying<br>飛行場 (ひこうじょう) airfield<br>飛ぶ (とぶ) to fly | to jump<br>飛行機 (ひこうき) airplane		
y^]!I`l|El	馬	バ	うま、ま	horse	馬 (うま) horse		
vU2i5@zlCL	鳴	メイ	な・く、な・らす、な・る	bark; chirp; cry; honk; ring	鳴き声 (なきごえ) animal cry; roar; chirp; tweet<br>鳴る (なる) to sound; to ring<br>鳴く (なく) to chirp; to bark		
HIL,akIP.B	亡	ボウ、モウ	な・い	deceased; dying; perish	死亡 (しぼう) to die; to pass away<br>亡くなる (なくなる) to die; to pass away		
"B*k.#znlv|"	件	ケン		item; matter	事件 (じけん) event; incident; case (usually negative)<br>条件 (じょうけん) condition; requirement; prerequisite		
e1wCpPuGLi	例	レイ	たと・える	example; precedent	例 (れい) example<br>例年 (れいねん) ordinay year<br>例えば (たとえば) for example; for instance		
"zm57f,qP#K"	倍	バイ		double; times	～倍 (～ばい) ～times; ～fold		
QN:%ZQ<PN*	値	チ	あたい、ね	cost; price; value	価値 (かち) value; worth<br>値上がり (ねあがり) price increase<br>値上げ (ねあげ) price increase<br>値下げ (ねさげ) price decrease<br>値段 (ねだん) price; cost		
q;4H1W%;`p	備	ビ	そな・える、そな・わる	preparation	備える (そなえる) to furnish with; to equip with<br>設備 (せつび) equipment; facilities<br>準備 (じゅんび) preparation; arrangements		
b6[O$8mA53	優	ユウ	すぐ・れる、やさ・しい	actor; excel; surpass; gentleness	俳優 (はいゆう) actor<br>優れる (すぐれる) to surpass; to excel<br>優勝 (ゆうしょう) overall victory; championship<br>優秀 (ゆうしゅう) superiority; excellence<br>女優 (じょゆう) actress<br>優しい (やさしい) kind; gentle; amiable		
u9!LbB`Fv@	共	キョウ	とも	together; with; alike; both	共に (ともに) jointly; at the same time<br>共同 (きょうどう) co-operation; collaboration<br>共通 (きょうつう) common; shared		
K@_8l4)7q>	具	グ		container; utensil; detailed; preparation	具体 (ぐたい) concrete; tangible<br>具体的 (ぐたいてき) concrete<br>家具 (かぐ) furniture<br>具合 (ぐあい) condition; state; health<br>道具 (どうぐ) tool; apparatus; device		
yd|p{Y*,ya	列	レツ		column; row; rank	列 (れつ) row; line; column<br>列車 (れっしゃ) train		
EglbpFzzBs	刻	コク	きざ・む	chop; mince; carve; engrave	時刻 (じこく) time (shown on a clock)<br>深刻 (しんこく) serious; grave<br>遅刻 (ちこく) being late		
H%YzhjsD0n	割	カツ	さ・く、わり、わ・る、わ・れる	proportion; split; divide	割る (わる) to divide; to split; to break<br>役割 (やくわり) part; role<br>割れる (われる) to break; to split; to be smashed<br>割合 (わりあい) ratio; percentage		
r3~?oS{o|B	努	ド	つと・める	diligent; toil	努力 (どりょく) effort; exertion; hard work		
EzQYQnp6:i	務	ム	つと・める	duty; task	事務 (じむ) office work<br>義務 (ぎむ) duty; obligation<br>事務所 (じむしょ) office<br>公務員 (こうむいん) government worker		
D,&P|&@)$-	勤	キン、ゴン	つと・まる、つと・める	be employed; serve	勤め (つとめ) service; business; responsibility<br>勤める (つとめる) to work (for); to be employed (at)		
ma(g@2hkV%	危	キ	あぶ・ない、あや・うい、あや・ぶむ	dangerous; fear	危険 (きけん) danger; peril<br>危ない (あぶない) dangerous; risky; hazardous		
qDSG=wELf_	吸	キュウ	す・う	inhale; suck	吸収 (きゅうしゅう) absorption<br>呼吸 (こきゅう) breathing; respiration<br>吸う (すう) to smoke; to breathe in | to suck		
zoX(d{oe(-	呼	コ	よ・ぶ	call; invite	呼吸 (こきゅう) breathing; respiration<br>呼ぶ (よぶ) to call out (to); to call		
y53FOK8E$5	命	ミョウ、メイ	いのち	life; fate; command	命 (いのち) life; lifetime<br>命じる (めいじる) to order; to command<br>命令 (めいれい) order; command<br>生命 (せいめい) life<br>一生懸命 (いっしょうけんめい) with all one's might; very hard		
N=Tf%+;,_I	和	オ、ワ	なご・む、なご・やか、やわ・らぐ、やわ・らげる	harmony; Japan; Japanese style; peace; soften	和菓子 (わがし) Japanese sweets<br>平和 (へいわ) peace; harmony		
A+^JE7~vkC	喜	キ	よろこ・ぶ	rejoice; enjoy; congratulations	喜び (よろこび) joy; delight<br>喜ぶ (よろこぶ) to be happy		
k[zRV5xBxs	因	イン	よ・る	to depend on; follow; be connected with	原因 (げんいん) cause		
jL<?zLeqD,	困	コン	こま・る	annoyed; distressed	困難 (こんなん) difficulty; hardship<br>困る (こまる) to be troubled; to be bothered		
JEVBQ?<6+$	在	ザイ	あ・る	to exist; countryside	存在 (そんざい) existence; being<br>滞在 (たいざい) stay; sojourn<br>現在 (げんざい) current; present time		
C.=jvq=R8E	型	ケイ	かた	type; model; shape	典型 (てんけい) model; archetypal; representative<br>型 (かた) mould; template; type; pattern<br>髪型 (かみがた) hair style		
"y{xX[8#.~E"	報	ホウ	むく・いる	news; to report; retaliation	予報 (よほう) forecast; prediction<br>報告 (ほうこく) report; information<br>報告書 (ほうこくしょ) (written) report<br>情報 (じょうほう) information; news; data<br>天気予報 (てんきよほう) weather forecast		
K~KG>BL3Cc	塩	エン	しお	salt	塩 (しお) salt		
M(,*X8!rui	増	ゾウ	ふ・える、ふ・やす、ま・す	add; augment; increase	増す (ます) to increase; to grow<br>増加 (ぞうか) increase; growth<br>増える (ふえる) to increase; to multiply		
F0H*L07s]5	妻	サイ	つま	wife	妻 (つま) wife		
zYI-+%{P)>	婦	フ		bride; wife; woman	主婦 (しゅふ) housewife<br>夫婦 (ふうふ) married couple; husband and wife<br>婦人 (ふじん) woman; lady<br>新婦 (しんぷ) bride		
pHvJI,eu3}	存	ソン、ゾン		exist; to preserve; to know of	保存 (ほぞん) saving; storage; maintenance<br>存在 (そんざい) existence; being<br>ご存じ (ごぞんじ) (hon) to know		
kfL-]}!/*.	宅	タク		home; house; my husband	住宅 (じゅうたく) residence; housing<br>帰宅 (きたく) returning home<br>お宅 (おたく) (hon) your house; your home		
okE.[JXS?)	容	ヨウ		contain; form; shape	内容 (ないよう) contents; substance; details<br>容易 (ようい) easy; simple; plain<br>美容院 (びよういん) beauty salon		
I-NiwT=BeI	寺	ジ	てら	Buddhist temple	寺 (てら) temple (Buddhist)		
Eu2(%u*Fr:	島	トウ	しま	island	島 (しま) island		
G@nQ<!Ctj6	希	キ		hope; request; sparse; rare	希望 (きぼう) request; hope; aspiration<br>希望者 (きぼうしゃ) applicant		
K]cjxwipD7	師	シ		instructor; master; specialist; metropolis	医師 (いし) doctor<br>技師 (ぎし) technician; engineer<br>教師 (きょうし) teacher (in school/classroom)<br>看護師 (かんごし) nurse		
NDgRNx-`2e	常	ジョウ	つね	always; continually; ordinary; normal	常に (つねに) always; constantly<br>常識 (じょうしき) common sense<br>日常 (にちじょう) ordinary; usual; regular<br>異常 (いじょう) abnormality; strangeness<br>非常 (ひじょう) emergency | extraordinary; unusual		
rvE;pM{/)	平	ビョウ、ヘイ	たい・ら、ひら	flat; peace	不平 (ふへい) discontent; dissatisfaction<br>公平 (こうへい) fairness; impartiality<br>平ら (たいら) flatness; level<br>平和 (へいわ) peace; harmony<br>平均 (へいきん) average; mean; balance; equilibrium		
xx$?48nG6v	幸	コウ	さいわ・い、さち、しあわ・せ	fortune; happiness	不幸 (ふこう) misfortune<br>幸い (さいわい) happiness; fortune<br>幸せ (しあわせ) happiness; good fortune<br>幸福 (こうふく) happiness; well-being<br>幸運 (こううん) good luck		
s-qn@D?2>Y	座	ザ	すわ・る	sit; seat; cushion	座席 (ざせき) seat<br>座る (すわる) to sit; to squat		
Al~_^+i^Gk	庫	ク、コ		warehouse	冷凍庫 (れいとうこ) freezer<br>金庫 (きんこ) safe; strongbox<br>冷蔵庫 (れいぞうこ) refrigerator		
fapN&itxuC	庭	テイ	にわ	courtyard; garden	家庭 (かてい) household; family<br>庭 (にわ) garden; yard		
k7}.vq]DX~	徒	ト		emptiness; futility; go on foot; pupil	生徒 (せいと) student		
dW<_LR}u`z	得	トク	う・る、え・る	profit; benefit; advantage; gain	得る (える) to get; to obtain; to win<br>得意 (とくい) one's strong point; one's forte<br>納得 (なっとく) consent; agreement		
pQ!ziNId(G	忘	ボウ	わす・れる	forget	忘れ物 (わすれもの) lost article; something forgotten<br>忘れる (わすれる) to forget		
Kq8T|MjNFv	性	ショウ、セイ		gender; nature	性格 (せいかく) character; personality<br>女性 (じょせい) woman; female<br>男性 (だんせい) man; male		
fLFX|!RDQE	悲	ヒ	かな・しい、かな・しむ	sad; regret	悲しむ (かなしむ) to be sad<br>悲劇 (ひげき) tragedy; disaster<br>悲しい (かなしい) sad		
PB3Y9Z36fn	情	ジョウ、セイ	なさ・け	circumstances; emotion; feelings; passion	事情 (じじょう) circumstances<br>友情 (ゆうじょう) friendship; camaraderie<br>情報 (じょうほう) information; news; data<br>愛情 (あいじょう) love; affection<br>感情 (かんじょう) emotion; feelings<br>表情 (ひょうじょう) facial expression		
phAu`oY0?v	愛	アイ		love	愛 (あい) love<br>愛する (あいする) to love<br>愛情 (あいじょう) love; affection<br>可愛い (かわいい) cute; adorable; charming		
oE{@4uYO8W	才	サイ		genius; years old	才能 (さいのう) talent; ability		
G)S$|kt;4H	打	ダ	う・つ	hit; strike	打つ (うつ) to hit; to strike		
DD&uCe<nlK	支	シ	ささ・える	branch; support	支出 (ししゅつ) expenditure; disbursement<br>支店 (してん) branch office; branch store<br>支払う (しはらう) to pay<br>支給 (しきゅう) payment; allowance<br>支度 (したく) preparation; arrangements		
zUF5(SC>9R	放	ホウ	はな・す、はな・つ、はな・れる、ほう・る	release; liberate; broadcast; emit	放す (はなす) to release; to let go<br>放送 (ほうそう) broadcast		
PoQ-1PwzW3	散	サン	ち・らかす、ち・らかる、ち・らす、ち・る	spend; scatter; disperse	散歩 (さんぽ) walk; stroll		
xT@19e|7O(	整	セイ	ととの・う、ととの・える	arrange; put in order	整理 (せいり) putting in order; organization; adjustment; regulation		
fARidmLVb:	断	ダン	ことわ・る、た・つ	decline; refuse; decide; absolutely	判断 (はんだん) judgement; decision<br>断る (ことわる) to decline; to refuse<br>横断 (おうだん) crossing; traversing		
Nv%-:kn84[	易	イ、エキ	やさ・しい	simple; easy; smooth; modify; fortune-telling	容易 (ようい) easy; simple; plain<br>貿易 (ぼうえき) trade (economics)<br>易しい (やさしい) easy; plain; simple		
"k#kD2rA23V"	晩	バン		night	一晩 (ひとばん) one night; | all night<br>昨晩 (さくばん) last night<br>今晩 (こんばん) tonight<br>晩 (ばん) evening<br>晩御飯 (ばんごはん) dinner<br>毎晩 (まいばん) every night		
CAm{8PPS*8	景	ケイ		scenery; view	光景 (こうけい) scene; view<br>景気 (けいき) business conditions; economic climate<br>風景 (ふうけい) scenery<br>景色 (けしき) scenery; scene; landscape		
Pk!h}/z6?+	札	サツ	ふだ	counter for bonds; paper money	札 (さつ) paper money		
klyGH({ST9	材	ザイ		ingredients; materials; talent; timber; wood	材料 (ざいりょう) ingredients; materials<br>食材 (しょくざい) food stuffs; ingredients		
kK`}Rnq6%c	格	カク、コウ		case (law, grammar); character; rank; status	価格 (かかく) price; value<br>合格 (ごうかく) success; passing (e.g. exam)<br>合格者 (合格者) person who passed<br>性格 (せいかく) character; personality<br>格好 (かっこう) shape; form; posture		
"FUra>#_x6B"	案	アン		table; investigate; document; proposition	提案 (ていあん) proposal<br>案 (あん) idea; thought<br>答案 (とうあん) answer sheet<br>案内 (あんない) guidance; showing around		
Pxjt%Z[60}	構	コウ	かま・う、かま・える	build; posture; pretend	構成 (こうせい) organization; configuration<br>構う (かまう) to mind; to care about<br>結構 (けっこう) no thank you | quite; fairly		
"b?@Di=~,~#"	欲	ヨク	ほっ・する、ほ・しい	desire; greed; longing; passion	食欲 (しょくよく) appetite (for food)<br>欲しい (ほしい) wanted; desired		
p1O^R-}?s}	段	ダン		stairs	手段 (しゅだん) means; way<br>普段 (ふだん) usual; everyday<br>段 (だん) step; stair; rank; level<br>値段 (ねだん) price; cost<br>階段 (かいだん) stairs; staircase		
szPA1`IZz+	殺	サイ、サツ、セツ	ころ・す	kill; slice off; split	殺す (ころす) to kill<br>自殺 (じさつ) suicide		
AC7/($%-hx	氷	ヒョウ	こおり、ひ	ice; freeze	氷 (こおり) ice		
y2ji|3,j+-	油	ユ	あぶら	fat; oil	油 (あぶら) oil<br>石油 (せきゆ) oil; petroleum<br>醤油 (しょうゆ) soy sauce; shoyu		
uW*OaQdA$S	波	ハ	なみ	waves	波 (なみ) wave<br>津波 (つなみ) tidal wave		
jG.>Y}_jW)	泣	キュウ	な・く	cry; weep	泣く (なく) to cry; to weep		
"B##:-s-Kgb"	泳	エイ	およ・ぐ	swim	泳ぎ (およぎ) swimming<br>水泳 (すいえい) swimming<br>泳ぐ (およぐ) to swim		
mToNk!,].|	深	シン	ふか・い、ふか・まる、ふか・める	intensify	深刻 (しんこく) serious; grave<br>深い (ふかい) deep | profound		
gs|!t+3?/,	済	サイ	す・ます、す・む	come to an end; finish; settle	済ませる (すませる) to finish<br>経済学 (けいざいがく) (study of) economics<br>済む (すむ) to finish; to end<br>経済 (けいざい) economics		
h0q+EbxA6,	温	オン	あたた・か、あたた・かい、あたた・まる、あたた・める	warm	体温 (たいおん) body temperature<br>気温 (きおん) temperature (weather)<br>温度 (おんど) temperature<br>温暖 (おんだん) warm; mild; temperate<br>温かい (あたたかい) warm<br>温い (ぬるい) lukewarm; tepid		
Qs8[$7Uuh,	無	ブ、ム	な・い	none; not; nothing	無事 (ぶじ) safety; peace<br>無料 (むりょう) free; no charge<br>無視 (むし) disregarding; ignoring<br>無駄 (むだ) uselessness; pointlessness<br>無くなる (なくなる) to be lost (e.g. luggage); to be missing<br>無理 (むり) impossible<br>無くす (なくす) to lose something		
JUNU4{@El_	然	ゼン、ネン		however; in that case; burn	偶然 (ぐうぜん) coincidence<br>天然 (てんねん) nature<br>当然 (とうぜん) natural; of course<br>突然 (とつぜん) abrupt; sudden; unexpected<br>自然 (しぜん) natural; nature<br>全然 (ぜんぜん) not at all (with neg. verb) | entirely; completely		
L?BjZWy5:,	焼	ショウ	や・く、や・ける	bake; burn	焼く (やく) to burn | to roast; to grill<br>焼ける (やける) to burn; to be roasted		
"lnp}#Hk$gU"	現	ゲン	あらわ・す、あらわ・れる	actual; existing; present	実現 (じつげん) implementation (e.g. of a system)<br>現す (あらわす) to represent; to stand for; to show; to display<br>現れ (あらわれ) manifestation; materialization; expression<br>現れる (あらわれる) to appear; to become visible<br>現代 (げんだい) nowadays; modern times<br>現在 (げんざい) current; present time<br>現場 (げんば) actual spot; actual site; shop/factory floor<br>現実 (げんじつ) reality; actuality<br>現状 (げんじょう) present condition<br>現象 (げんしょう) phenomenon<br>現金 (げんきん) cash<br>表現 (ひょうげん) expression; notation		
"E78.=b?9)#"	留	リュウ、ル	と・まる、と・める	fasten; detain; halt	留める (とどめる) to stop; to keep (in position, in place); to limit<br>留学 (りゅうがく) studying abroad<br>留守 (るす) absence; being away from home<br>留学生 (りゅうがくせい) exchange student		
K0YAn_X3a9	痛	ツウ	いた・い、いた・む、いた・める	damage; hurt; pain	痛み (いたみ) pain; soreness<br>苦痛 (くつう) pain; agony<br>頭痛 (ずつう) headache<br>痛い (いたい) painful; sore		
g(AiZlsvi$	的	テキ	まと	target; mark; obvious; adj ending	一時的 (いちじてき) temporary<br>一般的 (いっぱんてき) common; general; for the masses<br>具体的 (ぐたいてき) concrete<br>効果的 (こうかてき) effective; successful<br>目的 (もくてき) goal; objective		
"xA)#!$SW(c"	確	カク	たし・か、たし・かめる	clear; evident; firm; solid	明確 (めいかく) precise; definite<br>正確 (せいかく) accurate; correct; exact<br>確かめる (たしかめる) to check; to confirm<br>確実 (かくじつ) certainty; reliability<br>確認 (かくにん) confirmation; verification		
DG$l_U2`*F	示	シ、ジ	しめ・す	show; display; express	掲示 (けいじ) notice; bulletin<br>掲示板 (けいじばん) bulletin board<br>示す (しめす) toshow; to demonstrate		
"+_#VHZ@xT"	祭	サイ	まつ・り、まつ・る	ritual; pray; celebrate	お祭 (おまつり) festival<br>祭り (まつり) festival		
Ia{,Tvj6^d	積	セキ	つ・む、つ・もる	stack; pile; amass; product of multiplication	積もる (つもる) to pile up; to accumulate<br>積極的 (せっきょくてき) active; proactive; assertive		
zwG>tec0_s	窓	ソウ	まど	pane; window	窓 (まど) window		
"xg^N~#i[Bv"	等	トウ	ひと・しい	etc.; similar; equal	上等 (じょうとう) superior; first-class<br>平等 (びょうどう) impartiality; evenness<br>等しい (ひとしい) equal; similar<br>高等学校 (こうとうがっこう) high school		
t<!,,hx<fn	細	サイ	こま・か、こま・かい、ほそ・い、ほそ・る	thin; narrow; detailed; precise	細かい (こまかい) small; minor<br>細い (ほそい) thin; slender		
G5h/n9Pz;>	経	キョウ、ケイ	へ・る	longitude; boundary; elapse; measure; warp	神経 (しんけい) nerve (medical)<br>経営 (けいえい) management; administration<br>経由 (けいゆ) through; by way of; via<br>経済 (けいざい) economics<br>経験 (けいけん) experience		
dr(xBTv:Dx	結	ケツ	むす・ぶ、ゆ・う、ゆ・わえる	bind; join; fasten; contract	結局 (けっきょく) after all; ultimately<br>結果 (けっか) result; consequence; outcome<br>結論 (けつろん) conclusion<br>結婚 (けっこん) marriage<br>結構 (けっこう) no thank you | quite; fairly		
kMehGb~Ex.	給	キュウ		bestow on; grant; salary; wage	供給 (きょうきゅう) supply; provision<br>支給 (しきゅう) payment; allowance<br>時給 (じきゅう) hourly wage<br>給料 (きゅうりょう) salary; wages		
dKc:Q4>q&%	緑	リョク、ロク	みどり	green	緑 (みどり) green		
wk4sIn;xO2	線	セン		line; track	線 (せん) line		
jHpP8xTF_p	練	レン	ね・る	practice; polish; refine	訓練 (くんれん) training; drill<br>練習 (れんしゅう) practice		
m1AWisjxx(	置	チ	お・く	place; put; keep; leave	位置 (いち) place; position<br>装置 (そうち) equipment; device<br>置く (おく) to put; to place		
C>as.fb((c	老	ロウ	お・いる、ふ・ける	grow old; old man	老い (おい) old age; old person<br>老人 (ろうじん) old person		
j-tdUQrT~	職	ショク		employment; work	就職 (しゅうしょく) finding employment<br>職 (しょく) job; work; occupation<br>職場 (しょくば) place of work<br>職業 (しょくぎょう) occupation		
"x~GH|6X;#p"	腹	フク	はら	abdomen; stomach	腹 (はら) stomach<br>腹が立つ (はらがたつ) to be angry<br>お腹 (おなか) abdomen; stomach		
x/Hqyzj,!;	良	リョウ	よ・い	good; skilled	仲が良い (なかがいい) be friendly with<br>仲良い (なかいい) be friendly with<br>良い (いい、よい) good		
H-dj[Gd)Go	若	ジャク、ニャク	も・しくは、わか・い	young; immature; perhaps; few in number	若者 (わかもの) young person<br>若い (わかい) young; youthful		
MEK_=Wy,-V	草	ソウ	くさ	grass; weeds; herbs; draft; beginning	草 (くさ) grass; weed		
E0pF)][|UE	荷	カ	に	baggage; to bear; to shoulder	手荷物 (てにもつ) hand luggage<br>荷物 (にもつ) luggage; package		
b@vwyE_!$v	落	ラク	お・ちる、お・とす	fall; drop	落す (おとす) to drop<br>落ちる (おちる) to fall; to drop | to fail		
k]-*`)Y3A{	術	ジュツ		skill ;etchnique; art; magic	手術 (しゅじゅつ) surgery<br>芸術 (げいじゅつ) fine arts<br>技術 (ぎじゅつ) technology; engineering | technique; skill<br>美術館 (びじゅつかん) art museum		
bBj?dc_aGu	衣	イ	ころも	clothes; garment	浴衣 (ゆかた) yukata (Japanese bathrobe)<br>衣服 (いふく) clothes		
gRtf]~uS?S	覚	カク	おぼ・える、さ・ます、さ・める	wake up; memorize; remember	感覚 (かんかく) sensation; feeling<br>目が覚める (めがさめる) to awaken<br>目覚まし時計 (めざましどけい) alarm clock<br>覚悟 (かくご) readiness; preparedness<br>覚える (おぼえる) to memorize; to remember		
J$2uO-pBtp	解	カイ、ゲ	と・かす、と・く、と・ける	answer; explanation; undo; unravel; cancel; key	理解 (りかい) understanding; comprehension<br>見解 (けんかい) opinion; point of view<br>解決 (かいけつ) solution; resolution<br>解釈 (かいしゃく) explanation; interpretation<br>誤解 (ごかい) misunderstanding		
J1*_Y9mcT&	認	ニン	みと・める	acknowledge;recognize	承認 (しょうにん) approval; consent<br>確認 (かくにん) confirmation; verification<br>認める (みとめる) to recognize; to approve; to allow		
d}hz;XbbY?	警	ケイ		caution; warn against; surprise	警告 (けいこく) warning; disclaimer<br>警察 (けいさつ) police; ploliceman<br>警官 (けいかん) police officer		
s.Q6T0?|N}	身	シン	み	self; body	中身 (なかみ) contents; interior<br>出身 (しゅっしん) person's origin (e.g. city, country, parentage, school)<br>独身 (どくしん) single; unmarried<br>自身 (じしん) (by) oneself<br>身長 (しんちょう) height (of body)		
IS&An+TB?<	追	ツイ	お・う	chase; follow ;pursue	追い付く (おいつく) to catch up (with); to draw level; to get to even<br>追う (おう) to chase; to pursue; to follow		
ym,{>+0p7i	過	カ	あやま・ち、あやま・つ、す・ぎる、す・ごす	exceed; overdo; error; mistake	昼過ぎ (ひるすぎ) a little past noon<br>通り過ぎる (とおりすぎる) to go past; to pass by<br>通過 (つうか) passing through (e.g. train skipping a station); passing by<br>過去 (かこ) the past<br>過ぎる (すぎる) to pass by | to be too ～		
ui0>vdts~z	達	タツ		attain; reach	上達 (じょうたつ) improvement (e.g. in skill, ability); advance<br>発達 (はったつ) development; growth<br>達する (たっする) to reach; to arrive at<br>配達 (はいたつ) delivery; distribution<br>友達 (ともだち) friend; companion		
B*bV}I51sH	適	テキ		capable; qualified; suitable	快適 (かいてき) pleasant; comfortable<br>適切 (てきせつ) pertinent; appropriate<br>適度 (てきど) proper amount; suitable<br>適用 (てきよう) application (e.g. a technology); adoption<br>適当 (てきとう) suitable; appropriate		
"eN.U^#J&7+"	量	リョウ	はか・る	amount; quantity; weight; estimate; measure	大量 (たいりょう) large quantity<br>量 (りょう) quantity; volume		
lu)f66jd+f	鉄	テツ		iron	鉄 (てつ) iron (Fe)<br>鉄道 (てつどう) railroad; railway<br>地下鉄 (ちかてつ) subway		
s5jMjs0[j@	閉	ヘイ	し・まる、し・める、と・ざす、と・じる	closed; shut	閉じる (とじる) to close; to shut<br>閉まる (しまる) to be shut; to close<br>閉める (しめる) to close; to shut		
h*ws(!e]n<	降	コウ	お・りる、お・ろす、ふ・る	descend; fall; precipitate; surrender	降ろす (おろす) to take down; to lower; to unload<br>降り出す (ふりだす) to start to rain (snow, etc.)<br>降りる (おりる) to descend (e.g. a mountain) | to get off; to dismount<br>降る (ふる) to precipitate; to fall (e.g. rain)		
m=P-q-*VXy	限	ゲン	かぎ・る	limit; restrict	制限 (せいげん) restriction; limit<br>限る (かぎる) to restrict; to limit<br>限界 (げんかい) limit		
mH?(&8PbuG	陽	ヨウ		in the sun; bright	太陽 (たいよう) sun<br>陽気 (ようき) cheerful; lively		
bgh[%K5wT}	階	カイ		stairs; up and down	～階建て (～かいだて) ～-storied building<br>階段 (かいだん) stairs; staircase<br>～階 (～かい) counter for floors in a building		
Q2Lq/7:hGb	際	サイ	きわ	edge; verge; relationship; interval; fate	交際 (こうさい) company; friendship<br>実際 (じっさい) practicality; reality; actual<br>～際（さい） (～さい) on the occasion of ～<br>国際 (こくさい) international		
y4%1v:e~33	雑	ザツ、ゾウ		mixed; disordered	混雑 (こんざつ) crowding; confusion; disorder<br>複雑 (ふくざつ) complex; complicated<br>雑誌 (ざっし) journal; magazine; periodical		
si.H?ul^I/	難	ナン	かた・い、むずか・しい	difficult; tough; misfortune; sorrow; fight; rebuke	困難 (こんなん) difficulty; hardship<br>難しい (むずかしい) difficult; hard; troublesome		
pasCn}s1%`	雲	ウン	くも	cloud	雲 (くも) cloud		
"Klx#mLUo%m"	静	ジョウ、セイ	しず・か、しず・まる、しず・める	quiet	冷静 (れいせい) calmness; composure<br>静か (しずか) quiet; silent		
H3EAOaK_ro	非	ヒ		poor; error; blame; non-	非常 (ひじょう) emergency | extraordinary; unusual<br>是非 (ぜひ) certainly; definitely; without fail<br>非常に (ひじょうに) very; extremely		
